Monolayer,Atom_EA_Min,Atom_HardnessRB_StDiv,Atom_IP8_Min,Atom_Inv_Diff_IP2_IP4_StDiv,Atom_Inv_Diff_IP5_IP6_StDiv,Atom_Inv_Diff_IP7_IP8_StDiv,Atom_Inv_Mult_EA_ThermalExpansion_Range,Atom_Inv_Mult_ENGhosh2010_Group_Max,Atom_Inv_Mult_IP8_HeatCap_Median,Atom_Inv_Mult_IP8_LatticeConstant_StDiv,Atom_Inv_Mult_PoissonRatio_Ntotal_StDiv,Atom_Inv_Mult_SpeedSound_TDebye0_Min,Atom_Inv_Mult_SpeedSound_Zeff_Min,Atom_Inv_Mult_ThermalExpansion_Group_Min,Atom_Inv_Mult_ThermalExpansion_MolarVol_Median,Atom_Inv_Mult_dHAtom_Density_StDiv,Atom_Inv_Mult_dHFus_PoissonRatio_Min,Atom_Inv_SQR_RadiiBatsanov_Min,Atom_Log_Mult_IP1_MolarVol_Min,Atom_Log_Mult_IP1_MolarVol_Range,Atom_Log_Mult_IP8_LatticeConstant_Min,Atom_Log_Mult_PoissonRatio_Nvalence_Range,Atom_Log_Mult_dHFus_ThermalExpansion_Min,Atom_Log_Mult_dHVap_ThermalExpansion_Max,Atom_Log_Mult_dHVap_ThermalExpansion_Min,Atom_Log_Ratio_Density_BulkModule_Min,Atom_Log_Ratio_Density_Mass_StDiv,Atom_Log_Ratio_ENGhosh2010_Group_Min,Atom_Log_Ratio_IP1_IP8_Median,Atom_Log_Ratio_IP1_IP8_Min,Atom_Log_Ratio_IP4_EA_StDiv,Atom_Log_Ratio_IP5_IP6_Min,Atom_Log_Ratio_PoissonRatio_Ntotal_Range,Atom_Log_Ratio_RadiiCordero08_MolarVol_Max,Atom_Log_Ratio_SpeedSound_BulkModule_Min,Atom_Log_Ratio_dHFus_TDebye0_StDiv,Atom_MolarVol_Min,Atom_Mult_EA_DipolePolaris_StDiv,Atom_Mult_EA_YoungsModule_Median,Atom_Mult_EA_dHFus_StDiv,Atom_Mult_IP1_Period_StDiv,Atom_Mult_IP7_EA_Min,Atom_Mult_LatticeConstant_RadiiBatsanov_Min,Atom_Mult_ThermalCond_MolarVol_Mean,Atom_Mult_ThermalCond_MolarVol_Median,Atom_Mult_ThermalCond_YoungsModule_Min,Atom_Mult_ThermalExpansion_BulkModule_StDiv,Atom_Mult_ThermalExpansion_TDebye0_StDiv,Atom_Ratio_BulkModule_Nvalence_Max,Atom_Ratio_EA_ThermalExpansion_Max,Atom_Ratio_EA_ThermalExpansion_Median,Atom_Ratio_EA_ThermalExpansion_Min,Atom_Ratio_ENARrev_YoungsModule_StDiv,Atom_Ratio_IP1_TDebye0_Min,Atom_Ratio_IP7_MolarVol_StDiv,Atom_Ratio_dHFus_dHAtom_StDiv,Atom_Ratio_dHVap_YoungsModule_StDiv,CN_Se_Mean,CrystSyst_hexagonal,CrystSyst_trigonal,EState_DistTopo_Cd_ENGhosh2010,EState_DistTopo_Cd_IP3,EState_DistTopo_Si_ENARrev,EState_Dist_Cd_EA,EState_Dist_Cd_ENARrev,EState_Dist_Hf_EA,EState_Dist_Mo_ENARrev,EState_Dist_Ni_ENARrev,EState_Dist_Pd_EA,EState_Dist_Pd_ENARrev,EState_Dist_Ti_ENARrev,EState_Topo_Cd_ENARrev,EState_Topo_Cd_ENGhosh2010,EState_Topo_Cd_Zeff,EState_Topo_Cd_dHAtom,EState_Topo_In_IP3,EState_Topo_Mo_ENGhosh2010,EState_Topo_Mo_Zeff,EState_Topo_Pd_IP1,EState_Topo_Ti_Zeff,Moment_ENGhosh2010_2,Moment_Mass_1,Moment_N_d_2,Moment_N_f_2,Moment_N_f_3,Moment_PoissonRatio_3,Moment_TCritical_1,Moment_TCritical_2,Moment_TCurie_3,Moment_ThermalExpansion_1,Moment_ThermalExpansion_2,Moment_YoungsModule_2,Ratio_ac,Ratio_bc,SG164,Atom_Inv_Diff_ENARrev_ENGordyRev_Range,Atom_Inv_Diff_ENGordyRev_EA_StDiv,Atom_Inv_Diff_ENGordyRev_IP5_StDiv,Atom_Inv_Diff_ENGordyRev_IP6_StDiv,Atom_Inv_Mult_IP2_LatticeConstant_Min,Atom_Inv_Mult_SpeedSound_Zeff_Median,Atom_Log_Mult_ENGordyRev_IP6_Range,Atom_Log_Mult_IP7_Period_Range,Atom_Log_Mult_SpeedSound_RadiiCordero08_Median,Atom_Log_Ratio_IP2_IP3_StDiv,Atom_Log_Ratio_IP6_IP7_Max,Atom_Mult_EA_dHAtom_Max,Atom_Mult_EA_dHAtom_StDiv,Atom_Mult_IP8_SpeedSound_Min,Atom_Mult_IP8_SpeedSound_StDiv,Atom_Mult_LatticeConstant_Density_StDiv,Atom_Mult_ThermalCond_YoungsModule_StDiv,Atom_Ratio_Density_TDebye0_Min,Atom_Ratio_ENARrev_YoungsModule_Min,Atom_Ratio_dHFus_SpeedSound_StDiv,EState_Topo_Ni_Zeff,EState_Topo_Pd_Zeff,EState_Topo_Te_dHAtom,Moment_SpeedSound_1,Moment_TCurie_1,SG187
U1B2O6,0.0050799999999999994,0.052070000000000005,0.10588,0.15975,0.10389000000000001,0.31814000000000003,0.12941,0.36899,0.21552,0.0935,0.0,0.26811,0.00542,0.040080000000000005,0.15774000000000002,0.0461,0.15333,0.22873000000000002,0.57099,0.29701,0.6515,0.0,0.7841,0.85075,0.7720600000000001,-1.0,0.10443,-0.5092899999999999,-1.0,-1.0,0.15536,-0.1536,0.0,-0.38301999999999997,0.53351,0.04489,0.057010000000000005,0.016390000000000002,0.02518,0.0381,0.11364,0.006220000000000001,0.30096,0.0124,9e-05,0.07247999999999999,0.01964,0.06567,0.34259,0.08723,0.08723,0.01346,0.0,0.0194,0.25189,0.22005,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2045299999999999,-4.06072,-1.4307,-1.4307,-11.60939,-11.60939,-4.8236099999999995,-1.4307,0.0,-3.3554,-1.11697,-1.4307,0.18144000000000002,0.28655,0,0.03942,0.11465999999999998,0.22918000000000002,0.19705,0.2392,0.48318999999999995,0.21345999999999998,0.11842000000000001,0.5602600000000001,0.01596,-0.23503000000000002,0.30301,0.09749,0.19471,0.01022,0.15217,0.0,0.0084,0.00734,0.060820000000000006,0.0,0.0,0.0,-1.9754,0.0,0
Si12P12,0.0379,0.053610000000000005,0.31834,0.02446,0.09623,0.025710000000000004,0.0,0.44173,0.49157,0.034589999999999996,0.0,1.0,0.0637,1.0,1.0,0.00158,0.0,0.27438,0.72865,0.09471,0.8523200000000001,0.0,0.72469,0.66776,0.66776,-0.86021,0.03971,-0.5978600000000001,-0.84195,-0.8699,0.04749,-0.7057399999999999,0.0,-0.55253,0.47778999999999994,0.0,0.15662,0.08874,0.07907,0.23456999999999997,0.054310000000000004,0.13754,0.52355,0.17300000000000001,0.17300000000000001,0.08902,0.0,0.0,0.13889,1.0,1.0,1.0,0.0,0.04372,0.05012,0.33109,0.0,0.0,0,0,0.0,0.0,6.51133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1471800000000005,0.8851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8851,5.1471800000000005,5.1471800000000005,0.14304,0.42203,0,0.0026100000000000003,0.1197,0.21606,0.00941,0.4086,0.0637,0.029230000000000003,0.00927,0.81742,0.06878,-0.10654000000000001,0.52772,0.16592,0.46941000000000005,0.0,0.0020800000000000003,0.0,0.0192,0.08081,0.0,0.0,0.0,0.0,0.8851,0.0,0
P4H8Pb2O8,0.01848,0.06427000000000001,0.1258,0.0776,0.20656,0.1758,0.0,0.94545,0.21552,0.15667999999999999,0.0,0.30096,0.02659,0.08997000000000001,0.13622,0.07554,0.8609399999999999,0.22873000000000002,0.77952,0.08847999999999999,0.73485,0.0,0.73282,0.82605,0.82605,-0.41166,0.02231,-0.97239,-1.0,-1.0,0.03411,-0.7057399999999999,0.0,-0.58513,0.50283,0.17035,0.14831,0.030639999999999997,0.00705,0.00264,0.14800000000000002,0.02547,0.18939,0.0114,0.00039,0.00707,0.0,0.0,0.06389,0.023569999999999997,0.023569999999999997,0.023569999999999997,0.0,0.24436,0.3121,0.04019,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.00884,-12.922260000000001,-3.00884,-3.00884,-2.99116,-2.99116,-12.92227,-3.00884,0.0,-12.92227,-3.00884,-3.00884,0.22880999999999999,0.22979000000000002,0,0.5333899999999999,0.07534,0.13968,0.14296,0.2392,0.16034,0.13091,0.12344000000000001,0.6261800000000001,0.05172,-0.10654000000000001,0.30301,0.08433,0.10034,0.03775,0.1592,0.0,0.0030800000000000003,0.15596,0.04767,0.0,0.0,0.0,-12.92227,0.0,0
Ge4As8,0.04085,0.04245,0.18492999999999998,0.01384,0.10332999999999999,0.008159999999999999,0.0,0.39757,0.37393000000000004,0.0565,0.0,0.2356,0.03533,0.43333,0.48975,0.01081,0.0,0.27438,0.7430899999999999,0.02593,0.76066,0.0,0.78117,0.73416,0.73416,-0.60777,0.00464,-0.54602,-0.70014,-0.7468600000000001,0.030910000000000003,-0.38034,0.0,-0.5529,0.65941,0.01239,0.16818,0.06275,0.007790000000000001,0.053970000000000004,0.05525,0.08269,0.38873,0.1344,0.12357,0.00505,0.0,0.0,0.10528,0.38443,0.38443,0.38443,0.0,0.07326,0.00689,0.0213,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0749,-0.9394899999999999,-13.0749,0.0,0.0,0.0,0.0,0.0,0.0,-0.9394899999999999,-13.0749,-13.0749,0.14371,0.40391,0,0.00215,0.06046,0.11091,0.00985,0.27326999999999996,0.03533,0.01857,0.00197,0.9196799999999999,0.07456,-0.11509000000000001,0.38706,0.08703999999999999,0.6693100000000001,0.0,0.03188,0.0,0.07585,0.7258600000000001,0.0,0.0,0.0,0.0,-0.9394899999999999,0.0,0
Sn2Pb2F8,0.01848,0.12387999999999999,0.1258,0.13402999999999998,0.19625,0.26333,0.06563,0.94545,0.17672000000000002,0.22518000000000002,0.13988,0.24863000000000002,0.06989,0.08997000000000001,0.14793,0.07626000000000001,0.48,0.22873000000000002,0.7598199999999999,0.0777,0.73485,0.073,0.73282,0.8489399999999999,0.82605,-0.47394,0.0078,-0.97239,-0.9625,-0.9625,0.06981,-0.18436,0.10987000000000001,-0.57006,0.50283,0.023719999999999998,0.14545999999999998,0.08943,0.03718,0.01711,0.05467,0.02547,0.38636,0.05487,5.9999999999999995e-05,0.00707,0.0039700000000000004,0.01722,0.08056,0.09458,0.059079999999999994,0.023569999999999997,0.047639999999999995,0.12767,0.09919,0.05935,0.06513,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1215900000000003,1.04053,3.1215900000000003,3.1215900000000003,13.95921,13.95921,1.04053,3.1215900000000003,0.0,1.04053,3.1215900000000003,3.1215900000000003,0.14908,0.14908,0,0.5335300000000001,0.10705999999999999,0.10141,0.14117000000000002,0.19345,0.11512,0.16919,0.06623,0.82268,0.03545,-0.09781000000000001,0.27971,0.06863999999999999,0.10034,0.07931,0.21735,0.017490000000000002,0.19525,0.06068,0.03165,0.0,0.0,0.0,1.04053,0.0,0
Sc2Cl2,0.00954,0.07078999999999999,0.16574,0.13567,0.09461,0.27288,0.0,0.37993000000000005,0.50818,0.0198,0.0,0.0,1.0,0.05462,0.31704,0.01152,0.16275,0.22873000000000002,0.72883,0.13167,0.72027,0.0,0.7579199999999999,0.78046,0.78046,-0.67291,0.04757,-0.52369,-0.7782,-0.7912600000000001,0.20706,-0.20770999999999998,0.0,-0.5043300000000001,0.8088,0.0,0.19480999999999998,0.08081,0.01693,0.028960000000000003,0.09813,0.01813,0.34954,0.02292,0.02292,0.015030000000000002,0.0,0.0,0.10482000000000001,0.03449,0.03449,0.03449,0.0,0.0656,0.026719999999999997,0.04933,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51016,1.24865,1.50094,0.0,0.0,12.90008,0.8665700000000001,1.50094,0.0,0.8665700000000001,1.50094,1.50094,0.13435,0.13435,1,0.007370000000000001,0.03704,0.10674000000000002,0.05119,0.31806999999999996,1.0,0.08108,0.06535,0.56038,0.03422,-0.09767999999999999,0.36708,0.15395,0.05042,0.0,0.00085,0.0,0.04593,0.0083,0.0,0.0,0.0,0.0,1.7331400000000001,0.0,0
Re1Se2,0.0007599999999999999,0.05083,0.15138,0.011179999999999999,0.03576,0.10561,0.43488000000000004,0.38282,0.35691,0.028319999999999998,0.11465,0.15527,0.07006,0.08031,0.09567,0.013330000000000002,0.08485,0.28792,0.6733600000000001,0.13278,0.68893,0.0214,0.7880199999999999,0.81183,0.70004,-0.65627,0.06742000000000001,-0.52741,-0.70633,-0.70633,0.2864,-0.14762999999999998,0.08192999999999999,-0.40983,0.39289,0.07053,0.11507,0.12569,0.02446,0.03325,0.058410000000000004,0.0008699999999999999,0.25978,0.02814,0.0016300000000000002,7e-05,0.13938,0.03703,0.29365,0.10217999999999999,0.10217999999999999,0.004529999999999999,0.31303000000000003,0.06514,0.00119,0.05413,0.026330000000000003,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8859,2.88251,0.76947,1.47973,0.00015,8.1197,3.5882199999999997,1.47973,0.0,2.16927,0.66054,1.44297,0.13021,0.13021,0,0.00158,0.11657000000000001,0.12193,0.09409,0.20451,0.07006,0.00055,0.030789999999999998,0.86965,0.01856,-0.12555999999999998,0.38201,0.17551,0.43311000000000005,0.020630000000000003,0.18313,0.13225,0.16695,0.10497000000000001,0.11175,0.0,0.0,0.0,2.6844,0.0,1
Mn1Co2O6,-0.05076,0.08739,0.16543,0.03851,0.013080000000000001,0.1331,0.04547,0.34146,0.21552,0.15300999999999998,0.00072,0.27088,0.02361,0.059910000000000005,0.11060999999999999,0.040260000000000004,0.1697,0.28792,0.6292300000000001,0.23876999999999998,0.6882199999999999,0.18453,0.79586,0.8215899999999999,0.8214,-0.68805,0.07612000000000001,-0.47113,-1.0,-1.0,0.02014,-0.16069,0.00103,-0.36491999999999997,0.50492,0.00763,0.08662,0.14059000000000002,0.16784000000000002,0.04482,0.02802,-0.08332,0.23049,0.029560000000000003,9e-05,0.0195,0.01852,0.035,0.11110999999999999,0.09547,0.09547,-0.08623,0.0005099999999999999,0.05927,0.23305,0.11685,0.007809999999999999,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83049,1.62483,2.6861200000000003,0.0,0.0,10.9572,0.0,0.0,10.9572,1.7862799999999999,3.0939200000000002,2.8100400000000003,0.2241,0.2241,0,0.01721,0.17033,0.08136,0.07222999999999999,0.18070999999999998,0.48318999999999995,0.15596,0.15506,0.5602600000000001,0.05803,-0.13153,0.30301,0.16577999999999998,0.19471,0.19053,0.18377000000000002,0.11520999999999999,0.0937,0.00542,0.05155,0.0,0.0,0.0,1.6583299999999999,1.22774,0
La2I6,0.02386,0.03463,0.11008,0.14302,0.15733,0.22344,0.0,0.39914,0.29031,0.08786000000000001,0.0,0.0,0.047760000000000004,0.04604,0.39893,0.06507,0.42151000000000005,0.1936,0.76663,0.12177,0.6875399999999999,0.0,0.64231,0.8236399999999999,0.8236399999999999,-0.34602,0.013040000000000001,-0.54796,-0.64186,-0.7058300000000001,0.11413,-0.21224,0.0,-0.5514899999999999,0.69331,0.0,0.29078000000000004,0.02702,0.02083,0.06106,0.1262,0.02891,0.43044,0.01554,0.0022,0.00601,0.0,0.0,0.05167000000000001,0.07268,0.07268,0.07268,0.0,0.3317,0.00461,0.15427000000000002,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99972,1.1001,5.94527,0.0,0.0,12.42753,1.1001,7.574110000000001,0.0,1.1001,7.574110000000001,7.574110000000001,0.17704,0.40631,0,0.0027300000000000002,0.08701,0.07876,0.00539,0.41239,0.047760000000000004,0.03367,0.02559,0.8950600000000001,0.02105,-0.09766,0.27260999999999996,0.044989999999999995,0.1826,0.0,0.06794,0.0,0.2404,0.01615,0.0,0.0,0.0,0.0,1.1001,0.0,0
Cd2P2S6,0.0,0.0321,0.13639,0.08738,0.22241,0.08999,0.0,0.44958000000000004,0.44178999999999996,0.05661,0.0,0.31008,0.06359,0.07236000000000001,0.091,0.13275,0.44443999999999995,0.25,0.75618,0.06717999999999999,0.68576,0.0,0.78367,0.7762,0.7762,-0.41166,0.02017,-0.60653,-0.8313799999999999,-0.8313799999999999,0.060660000000000006,-0.7057399999999999,0.0,-0.50963,0.61942,0.0,0.16883,0.08715,0.0,0.011179999999999999,0.08559,0.0,0.30101,0.04865,0.00061,0.061239999999999996,0.0,0.0,0.11667000000000001,0.0,0.0,0.0,0.0,0.14816,0.07873,0.12563,0.0,0.0,0,1,2.7867,38.50692,0.0,-0.87598,-3.41488,0.0,0.0,0.0,0.0,0.0,0.0,-44.34667,-2.70805,0.75,-524.3333299999999,0.0,0.0,0.0,0.0,0.0,3.6144300000000005,1.46869,3.6144300000000005,0.0,0.0,13.41032,3.1301900000000002,3.6144300000000005,0.0,3.1301900000000002,3.6144300000000005,3.6144300000000005,0.26741,0.26741,0,0.01086,0.02169,0.02684,0.16988,0.21678000000000003,0.06359,0.14135,0.06486,0.8498,0.07301,-0.10654000000000001,0.48265,0.19839,0.21116999999999997,0.0,0.04367,0.0,0.21894,0.02762,0.0,0.0,0.0,0.0,3.1301900000000002,0.0,0
Ca1Pb1I4,0.00125,0.02138,0.1258,0.16664,0.10232000000000001,0.19377,0.91259,0.94545,0.29031,0.07291,0.32322,0.20501,0.025259999999999998,0.016659999999999998,0.19475,0.07312,0.3388,0.21006999999999998,0.77952,0.10887000000000001,0.73485,0.37956,0.73282,0.82605,0.78689,-0.54802,0.02957,-0.97239,-0.64186,-0.76505,0.25163,-0.21224,0.51061,-0.58513,0.50283,0.04906,0.23714000000000002,0.24955,0.0038200000000000005,0.07272999999999999,0.15794,0.00218,0.52273,0.18846,0.0022,0.00707,0.07071000000000001,0.02657,0.06389,0.023569999999999997,0.01281,0.00206,0.06477000000000001,0.09235,0.01726,0.11283,0.04299,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.17086,-4.97009,-0.9092,0.0,-11.827,-11.827,-7.8392100000000005,0.0,0.0,-6.11682,-0.99,-1.26278,0.19219,0.33436,0,0.53185,0.08724,0.15985,0.10802,0.40502,0.0928,0.03606,0.04324,0.85251,0.17573,-0.09325,0.27260999999999996,0.11484000000000001,0.10034,0.14692,0.14624,0.02172,0.03598,0.02642,0.03872,0.0,0.0,0.0,-4.82585,0.0,0
Bi1Te1I1,0.04784,0.0162,0.1279,0.12424,0.3058,0.20983000000000002,0.0,0.90271,0.28899,0.10830999999999999,0.0,0.19864,0.08993,0.20789000000000002,0.34285,0.033260000000000005,0.28257,0.22873000000000002,0.8012199999999999,0.08718,0.732,0.0,0.74142,0.7006899999999999,0.7006899999999999,-0.53622,0.02285,-0.94963,-0.66476,-0.67765,0.06886,-0.27591,0.0,-0.61775,0.5707899999999999,0.0364,0.26571,0.13752999999999999,0.06956,0.0671,0.05819,0.06784,0.42089,0.01548,0.01171,0.0016300000000000002,0.0,0.0,0.06019,0.13159,0.13159,0.13159,0.01167,0.20505,0.0221,0.09065,0.02576,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97262,1.8063599999999997,1.26502,2.53003,13.65221,13.65221,0.0,0.0,0.0,0.0,2.53003,1.07948,0.18389,0.18389,0,0.006940000000000001,0.075,0.05658,0.08905,0.28808,0.10439000000000001,0.01938,0.04782,0.84205,0.010879999999999999,-0.09112,0.32337,0.06716,0.15344000000000002,0.0544,0.07931,0.0008,0.2182,0.10805999999999999,0.01349,0.0,0.0,197.0,2.5994099999999998,0.0,0
Si4O8,0.07053,0.07847,0.31834,0.08097,0.07111,0.05583,0.0,0.44173,0.21552,0.062079999999999996,0.0,1.0,0.0637,1.0,1.0,0.0011,0.0,0.27438,0.72865,0.13935,0.8523200000000001,0.0,0.72469,0.66776,0.66776,-0.86021,0.01566,-0.5978600000000001,-1.0,-1.0,0.02913,-0.12007999999999999,0.0,-0.55253,0.47778999999999994,0.0,0.15662,0.10954000000000001,0.07907,0.22164,0.02033,0.23922,0.51115,0.11514,9e-05,0.08902,0.0,0.0,0.13889,1.0,1.0,1.0,0.0,0.04372,0.21208000000000002,0.31545,0.0,0.0,1,0,0.0,0.0,-23.80324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7602,1.50684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32979,2.30327,2.30327,0.21852,0.21852,0,0.00474,0.19976,0.06452999999999999,0.07306,0.2392,0.48318999999999995,0.036019999999999996,0.09502999999999999,0.5602600000000001,0.05964,-0.10868,0.52772,0.10593,0.19471,0.12949000000000002,0.02369,0.0,0.0192,0.08081,0.45698,0.0,0.0,0.0,1.40435,0.0,0
Sc2N1Cl2,-0.07107000000000001,0.13174,0.16574,0.1243,0.18439,0.27288,0.0,0.37993000000000005,0.50818,0.0198,0.0,0.0,0.39433,0.05462,0.31704,0.01931,0.16275,0.22873000000000002,0.72883,0.13167,0.72027,0.0,0.7579199999999999,0.78046,0.78046,-0.67291,0.04295,-0.52369,-0.7782,-0.7912600000000001,0.18589,-1.0,0.0,-0.5043300000000001,0.8088,0.0,0.17584,0.12507000000000001,0.01693,0.03341,0.09042,-0.65271,0.30413,0.01835,7e-05,0.015030000000000002,0.0,0.0,0.10482000000000001,0.03449,0.03449,0.03449,0.0,0.0656,0.33684000000000003,0.09326,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8621,0.90559,1.4521899999999999,0.0,0.0,12.87641,0.83842,1.4521899999999999,0.0,0.83842,1.4521899999999999,1.4521899999999999,0.13022999999999998,0.13022999999999998,1,0.007679999999999999,0.1683,0.10643,0.19504000000000002,0.16783,1.0,0.29281,0.18625,0.56038,0.03742,-0.09767999999999999,0.36708,0.33543,0.05042,0.0,0.02743,0.0,0.04593,0.0083,0.29865,0.0,0.0,0.0,1.2138,0.0,0
Sr2H4Se4O12,0.00264,0.07711,0.12707000000000002,0.1455,0.13442,0.21229,0.45564,0.38282,0.21552,0.1794,0.22030999999999998,0.15527,0.02659,0.01651,0.09567,0.03447,0.32666999999999996,0.18608,0.8012600000000001,0.06674,0.75966,0.45943,0.7725,0.78151,0.70004,-0.12579,0.059320000000000005,-0.52741,-1.0,-1.0,0.13714,-0.12409,0.42723999999999995,-0.60595,0.9275,0.20112,0.14831,0.09089,0.02446,0.027569999999999997,0.11921,0.0037799999999999995,0.18939,0.02102,9e-05,7e-05,0.0,0.02822,0.007690000000000001,0.10217999999999999,0.10217999999999999,0.00433,0.0,0.13402,0.33924,0.09222999999999999,0.0,4.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83129,0.82616,1.83129,0.0,0.0,14.11895,0.0,0.0,0.0,0.82616,1.83129,1.83129,0.20529,0.25322,0,0.014769999999999998,0.11813,0.11937,0.13505,0.2392,0.48318999999999995,0.16546,0.14318,0.5602600000000001,0.136,-0.09958,0.38201,0.11083,0.19471,0.10323,0.06922,0.0,0.0030800000000000003,0.7690100000000001,0.01771,0.0,0.0,0.0,0.82616,0.0,0
Ag1Bi1P2Se6,0.0379,0.036719999999999996,0.1279,0.09622,0.26999,0.11805999999999998,0.0045,0.90271,0.35691,0.06691,0.17192000000000002,0.15527,0.05292,0.08031,0.09567,0.055510000000000004,0.28257,0.22873000000000002,0.6915100000000001,0.13185999999999998,0.71759,0.6102,0.74142,0.81822,0.70004,-0.51572,0.039389999999999994,-0.94963,-0.70633,-0.8140000000000001,0.06139,-0.7057399999999999,0.24178000000000002,-0.45343,0.5082899999999999,0.05856,0.13338,0.07275,0.02446,0.0304,0.05463,0.06784,0.38035,0.08866,0.0016300000000000002,7e-05,0.07732,0.03449,0.55556,0.13159,0.10217999999999999,0.10217999999999999,0.30723,0.11531,0.06018,0.08735,0.006959999999999999,2.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92791,1.2482600000000001,3.87834,1.93917,10.19421,9.96305,0.0,0.0,0.0,0.42661000000000004,3.9202800000000004,4.44347,0.28467,0.28467,0,0.00896,0.08266,0.04833,0.18955,0.23415999999999998,0.07006,0.15061,0.054810000000000005,0.86965,0.0113,-0.09112,0.38201,0.08867,0.15344000000000002,0.10537,0.1124,0.14886,0.16695,0.015,0.07026,0.0,0.0,0.0,0.61106,0.0,0
Nb4Co4Te8,0.03367,0.00484,0.14257,0.1598,0.35364,0.11070999999999999,0.01259,0.40597,0.34381999999999996,0.08205,0.09344,0.19864,0.0279,0.1272,0.21523,0.03946,0.1393,0.26176,0.6292300000000001,0.19926,0.6882199999999999,0.1211,0.7849,0.82305,0.8214,-0.68805,0.1091,-0.5563100000000001,-0.6926899999999999,-0.7218100000000001,0.0746,-0.40596,0.18799000000000002,-0.36491999999999997,0.46665,0.0915,0.08662,0.11677,0.10812000000000001,0.06609,0.09686,0.05981,0.23049,0.06558,0.06166,0.0016300000000000002,0.08177000000000001,0.050839999999999996,0.18889,0.22915,0.16230999999999998,0.09547,0.06264,0.05927,0.11005999999999999,0.15795,0.05552000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.353110000000001,4.75742,12.353110000000001,0.0,0.0,4.081840000000001,3.87055,12.353110000000001,3.18473,5.10989,12.353110000000001,12.353110000000001,0.25781,0.31333,0,0.01465,0.08245,0.12109,0.15758,0.18070999999999998,0.06097,0.006379999999999999,0.02538,0.88226,0.05795,-0.09218,0.54578,0.11478,0.26225,0.10684,0.02546,0.10733,0.10284000000000001,0.00573,0.07069,0.0,0.0,-1167.3333300000002,4.9276,5.80582,0
