Monolayer,Atom_EA_Min,Atom_HardnessRB_StDiv,Atom_IP8_Min,Atom_Inv_Diff_IP2_IP4_StDiv,Atom_Inv_Diff_IP5_IP6_StDiv,Atom_Inv_Diff_IP7_IP8_StDiv,Atom_Inv_Mult_EA_ThermalExpansion_Range,Atom_Inv_Mult_ENGhosh2010_Group_Max,Atom_Inv_Mult_IP8_HeatCap_Median,Atom_Inv_Mult_IP8_LatticeConstant_StDiv,Atom_Inv_Mult_PoissonRatio_Ntotal_StDiv,Atom_Inv_Mult_SpeedSound_TDebye0_Min,Atom_Inv_Mult_SpeedSound_Zeff_Min,Atom_Inv_Mult_ThermalExpansion_Group_Min,Atom_Inv_Mult_ThermalExpansion_MolarVol_Median,Atom_Inv_Mult_dHAtom_Density_StDiv,Atom_Inv_Mult_dHFus_PoissonRatio_Min,Atom_Inv_SQR_RadiiBatsanov_Min,Atom_Log_Mult_IP1_MolarVol_Min,Atom_Log_Mult_IP1_MolarVol_Range,Atom_Log_Mult_IP8_LatticeConstant_Min,Atom_Log_Mult_PoissonRatio_Nvalence_Range,Atom_Log_Mult_dHFus_ThermalExpansion_Min,Atom_Log_Mult_dHVap_ThermalExpansion_Max,Atom_Log_Mult_dHVap_ThermalExpansion_Min,Atom_Log_Ratio_Density_BulkModule_Min,Atom_Log_Ratio_Density_Mass_StDiv,Atom_Log_Ratio_ENGhosh2010_Group_Min,Atom_Log_Ratio_IP1_IP8_Median,Atom_Log_Ratio_IP1_IP8_Min,Atom_Log_Ratio_IP4_EA_StDiv,Atom_Log_Ratio_IP5_IP6_Min,Atom_Log_Ratio_PoissonRatio_Ntotal_Range,Atom_Log_Ratio_RadiiCordero08_MolarVol_Max,Atom_Log_Ratio_SpeedSound_BulkModule_Min,Atom_Log_Ratio_dHFus_TDebye0_StDiv,Atom_MolarVol_Min,Atom_Mult_EA_DipolePolaris_StDiv,Atom_Mult_EA_YoungsModule_Median,Atom_Mult_EA_dHFus_StDiv,Atom_Mult_IP1_Period_StDiv,Atom_Mult_IP7_EA_Min,Atom_Mult_LatticeConstant_RadiiBatsanov_Min,Atom_Mult_ThermalCond_MolarVol_Mean,Atom_Mult_ThermalCond_MolarVol_Median,Atom_Mult_ThermalCond_YoungsModule_Min,Atom_Mult_ThermalExpansion_BulkModule_StDiv,Atom_Mult_ThermalExpansion_TDebye0_StDiv,Atom_Ratio_BulkModule_Nvalence_Max,Atom_Ratio_EA_ThermalExpansion_Max,Atom_Ratio_EA_ThermalExpansion_Median,Atom_Ratio_EA_ThermalExpansion_Min,Atom_Ratio_ENARrev_YoungsModule_StDiv,Atom_Ratio_IP1_TDebye0_Min,Atom_Ratio_IP7_MolarVol_StDiv,Atom_Ratio_dHFus_dHAtom_StDiv,Atom_Ratio_dHVap_YoungsModule_StDiv,CN_Se_Mean,CrystSyst_hexagonal,CrystSyst_trigonal,EState_DistTopo_Cd_ENGhosh2010,EState_DistTopo_Cd_IP3,EState_DistTopo_Si_ENARrev,EState_Dist_Cd_EA,EState_Dist_Cd_ENARrev,EState_Dist_Hf_EA,EState_Dist_Mo_ENARrev,EState_Dist_Ni_ENARrev,EState_Dist_Pd_EA,EState_Dist_Pd_ENARrev,EState_Dist_Ti_ENARrev,EState_Topo_Cd_ENARrev,EState_Topo_Cd_ENGhosh2010,EState_Topo_Cd_Zeff,EState_Topo_Cd_dHAtom,EState_Topo_In_IP3,EState_Topo_Mo_ENGhosh2010,EState_Topo_Mo_Zeff,EState_Topo_Pd_IP1,EState_Topo_Ti_Zeff,Moment_ENGhosh2010_2,Moment_Mass_1,Moment_N_d_2,Moment_N_f_2,Moment_N_f_3,Moment_PoissonRatio_3,Moment_TCritical_1,Moment_TCritical_2,Moment_TCurie_3,Moment_ThermalExpansion_1,Moment_ThermalExpansion_2,Moment_YoungsModule_2,Ratio_ac,Ratio_bc,SG164,c,
U1B2O6,0.00508,0.05207,0.10588,0.15975,0.10389,0.31814,0.12941,0.36899,0.21552,0.0935,0,0.26811,0.00542,0.04008,0.15774,0.0461,0.15333,0.22873,0.57099,0.29701,0.6515,0,0.7841,0.85075,0.77206,-1,0.10443,-0.50929,-1,-1,0.15536,-0.1536,0,-0.38302,0.53351,0.04489,0.05701,0.01639,0.02518,0.0381,0.11364,0.00622,0.30096,0.0124,0.00009,0.07248,0.01964,0.06567,0.34259,0.08723,0.08723,0.01346,0,0.0194,0.25189,0.22005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.20453,-4.06072,-1.4307,-1.4307,-11.60939,-11.60939,-4.82361,-1.4307,0,-3.3554,-1.11697,-1.4307,0.18144,0.28655,0,23.31724,
Si12P12,0.0379,0.05361,0.31834,0.02446,0.09623,0.02571,0,0.44173,0.49157,0.03459,0,1,0.0637,1,1,0.00158,0,0.27438,0.72865,0.09471,0.85232,0,0.72469,0.66776,0.66776,-0.86021,0.03971,-0.59786,-0.84195,-0.8699,0.04749,-0.70574,0,-0.55253,0.47779,0,0.15662,0.08874,0.07907,0.23457,0.05431,0.13754,0.52355,0.173,0.173,0.08902,0,0,0.13889,1,1,1,0,0.04372,0.05012,0.33109,0,0,0,0,0,0,6.51133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14718,0.8851,0,0,0,0,0,0,0,0.8851,5.14718,5.14718,0.14304,0.42203,0,24.75071,
P4H8Pb2O8,0.01848,0.06427,0.1258,0.0776,0.20656,0.1758,0,0.94545,0.21552,0.15668,0,0.30096,0.02659,0.08997,0.13622,0.07554,0.86094,0.22873,0.77952,0.08848,0.73485,0,0.73282,0.82605,0.82605,-0.41166,0.02231,-0.97239,-1,-1,0.03411,-0.70574,0,-0.58513,0.50283,0.17035,0.14831,0.03064,0.00705,0.00264,0.148,0.02547,0.18939,0.0114,0.00039,0.00707,0,0,0.06389,0.02357,0.02357,0.02357,0,0.24436,0.3121,0.04019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.00884,-12.92226,-3.00884,-3.00884,-2.99116,-2.99116,-12.92227,-3.00884,0,-12.92227,-3.00884,-3.00884,0.22881,0.22979,0,26.18802,
Ge4As8,0.04085,0.04245,0.18493,0.01384,0.10333,0.00816,0,0.39757,0.37393,0.0565,0,0.2356,0.03533,0.43333,0.48975,0.01081,0,0.27438,0.74309,0.02593,0.76066,0,0.78117,0.73416,0.73416,-0.60777,0.00464,-0.54602,-0.70014,-0.74686,0.03091,-0.38034,0,-0.5529,0.65941,0.01239,0.16818,0.06275,0.00779,0.05397,0.05525,0.08269,0.38873,0.1344,0.12357,0.00505,0,0,0.10528,0.38443,0.38443,0.38443,0,0.07326,0.00689,0.0213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.0749,-0.93949,-13.0749,0,0,0,0,0,0,-0.93949,-13.0749,-13.0749,0.14371,0.40391,0,26.14981,
Sn2Pb2F8,0.01848,0.12388,0.1258,0.13403,0.19625,0.26333,0.06563,0.94545,0.17672,0.22518,0.13988,0.24863,0.06989,0.08997,0.14793,0.07626,0.48,0.22873,0.75982,0.0777,0.73485,0.073,0.73282,0.84894,0.82605,-0.47394,0.0078,-0.97239,-0.9625,-0.9625,0.06981,-0.18436,0.10987,-0.57006,0.50283,0.02372,0.14546,0.08943,0.03718,0.01711,0.05467,0.02547,0.38636,0.05487,0.00006,0.00707,0.00397,0.01722,0.08056,0.09458,0.05908,0.02357,0.04764,0.12767,0.09919,0.05935,0.06513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12159,1.04053,3.12159,3.12159,13.95921,13.95921,1.04053,3.12159,0,1.04053,3.12159,3.12159,0.14908,0.14908,0,27.91842,
Sc2Cl2,0.00954,0.07079,0.16574,0.13567,0.09461,0.27288,0,0.37993,0.50818,0.0198,0,0,1,0.05462,0.31704,0.01152,0.16275,0.22873,0.72883,0.13167,0.72027,0,0.75792,0.78046,0.78046,-0.67291,0.04757,-0.52369,-0.7782,-0.79126,0.20706,-0.20771,0,-0.50433,0.8088,0,0.19481,0.08081,0.01693,0.02896,0.09813,0.01813,0.34954,0.02292,0.02292,0.01503,0,0,0.10482,0.03449,0.03449,0.03449,0,0.0656,0.02672,0.04933,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51016,1.24865,1.50094,0,0,12.90008,0.86657,1.50094,0,0.86657,1.50094,1.50094,0.13435,0.13435,1,25.80016,
Re1Se2,0.00076,0.05083,0.15138,0.01118,0.03576,0.10561,0.43488,0.38282,0.35691,0.02832,0.11465,0.15527,0.07006,0.08031,0.09567,0.01333,0.08485,0.28792,0.67336,0.13278,0.68893,0.0214,0.78802,0.81183,0.70004,-0.65627,0.06742,-0.52741,-0.70633,-0.70633,0.2864,-0.14763,0.08193,-0.40983,0.39289,0.07053,0.11507,0.12569,0.02446,0.03325,0.05841,0.00087,0.25978,0.02814,0.00163,0.00007,0.13938,0.03703,0.29365,0.10218,0.10218,0.00453,0.31303,0.06514,0.00119,0.05413,0.02633,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8859,2.88251,0.76947,1.47973,0.00015,8.1197,3.58822,1.47973,0,2.16927,0.66054,1.44297,0.13021,0.13021,0,23.62097,
Mn1Co2O6,-0.05076,0.08739,0.16543,0.03851,0.01308,0.1331,0.04547,0.34146,0.21552,0.15301,0.00072,0.27088,0.02361,0.05991,0.11061,0.04026,0.1697,0.28792,0.62923,0.23877,0.68822,0.18453,0.79586,0.82159,0.8214,-0.68805,0.07612,-0.47113,-1,-1,0.02014,-0.16069,0.00103,-0.36492,0.50492,0.00763,0.08662,0.14059,0.16784,0.04482,0.02802,-0.08332,0.23049,0.02956,0.00009,0.0195,0.01852,0.035,0.11111,0.09547,0.09547,-0.08623,0.00051,0.05927,0.23305,0.11685,0.00781,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83049,1.62483,2.68612,0,0,10.9572,0,0,10.9572,1.78628,3.09392,2.81004,0.2241,0.2241,0,21.9144,
La2I6,0.02386,0.03463,0.11008,0.14302,0.15733,0.22344,0,0.39914,0.29031,0.08786,0,0,0.04776,0.04604,0.39893,0.06507,0.42151,0.1936,0.76663,0.12177,0.68754,0,0.64231,0.82364,0.82364,-0.34602,0.01304,-0.54796,-0.64186,-0.70583,0.11413,-0.21224,0,-0.55149,0.69331,0,0.29078,0.02702,0.02083,0.06106,0.1262,0.02891,0.43044,0.01554,0.0022,0.00601,0,0,0.05167,0.07268,0.07268,0.07268,0,0.3317,0.00461,0.15427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99972,1.1001,5.94527,0,0,12.42753,1.1001,7.57411,0,1.1001,7.57411,7.57411,0.17704,0.40631,0,24.85506,
Cd2P2S6,0,0.0321,0.13639,0.08738,0.22241,0.08999,0,0.44958,0.44179,0.05661,0,0.31008,0.06359,0.07236,0.091,0.13275,0.44444,0.25,0.75618,0.06718,0.68576,0,0.78367,0.7762,0.7762,-0.41166,0.02017,-0.60653,-0.83138,-0.83138,0.06066,-0.70574,0,-0.50963,0.61942,0,0.16883,0.08715,0,0.01118,0.08559,0,0.30101,0.04865,0.00061,0.06124,0,0,0.11667,0,0,0,0,0.14816,0.07873,0.12563,0,0,0,1,2.7867,38.50692,0,-0.87598,-3.41488,0,0,0,0,0,0,-44.34667,-2.70805,0.75,-524.33333,0,0,0,0,0,3.61443,1.46869,3.61443,0,0,13.41032,3.13019,3.61443,0,3.13019,3.61443,3.61443,0.26741,0.26741,0,23.41154,
Ca1Pb1I4,0.00125,0.02138,0.1258,0.16664,0.10232,0.19377,0.91259,0.94545,0.29031,0.07291,0.32322,0.20501,0.02526,0.01666,0.19475,0.07312,0.3388,0.21007,0.77952,0.10887,0.73485,0.37956,0.73282,0.82605,0.78689,-0.54802,0.02957,-0.97239,-0.64186,-0.76505,0.25163,-0.21224,0.51061,-0.58513,0.50283,0.04906,0.23714,0.24955,0.00382,0.07273,0.15794,0.00218,0.52273,0.18846,0.0022,0.00707,0.07071,0.02657,0.06389,0.02357,0.01281,0.00206,0.06477,0.09235,0.01726,0.11283,0.04299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.17086,-4.97009,-0.9092,0,-11.827,-11.827,-7.83921,0,0,-6.11682,-0.99,-1.26278,0.19219,0.33436,0,23.65421,
Bi1Te1I1,0.04784,0.0162,0.1279,0.12424,0.3058,0.20983,0,0.90271,0.28899,0.10831,0,0.19864,0.08993,0.20789,0.34285,0.03326,0.28257,0.22873,0.80122,0.08718,0.732,0,0.74142,0.70069,0.70069,-0.53622,0.02285,-0.94963,-0.66476,-0.67765,0.06886,-0.27591,0,-0.61775,0.57079,0.0364,0.26571,0.13753,0.06956,0.0671,0.05819,0.06784,0.42089,0.01548,0.01171,0.00163,0,0,0.06019,0.13159,0.13159,0.13159,0.01167,0.20505,0.0221,0.09065,0.02576,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97262,1.80636,1.26502,2.53003,13.65221,13.65221,0,0,0,0,2.53003,1.07948,0.18389,0.18389,0,23.83001,
Si4O8,0.07053,0.07847,0.31834,0.08097,0.07111,0.05583,0,0.44173,0.21552,0.06208,0,1,0.0637,1,1,0.0011,0,0.27438,0.72865,0.13935,0.85232,0,0.72469,0.66776,0.66776,-0.86021,0.01566,-0.59786,-1,-1,0.02913,-0.12008,0,-0.55253,0.47779,0,0.15662,0.10954,0.07907,0.22164,0.02033,0.23922,0.51115,0.11514,0.00009,0.08902,0,0,0.13889,1,1,1,0,0.04372,0.21208,0.31545,0,0,1,0,0,0,-23.80324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7602,1.50684,0,0,0,0,0,0,0,1.32979,2.30327,2.30327,0.21852,0.21852,0,24.34136,
Sc2N1Cl2,-0.07107,0.13174,0.16574,0.1243,0.18439,0.27288,0,0.37993,0.50818,0.0198,0,0,0.39433,0.05462,0.31704,0.01931,0.16275,0.22873,0.72883,0.13167,0.72027,0,0.75792,0.78046,0.78046,-0.67291,0.04295,-0.52369,-0.7782,-0.79126,0.18589,-1,0,-0.50433,0.8088,0,0.17584,0.12507,0.01693,0.03341,0.09042,-0.65271,0.30413,0.01835,0.00007,0.01503,0,0,0.10482,0.03449,0.03449,0.03449,0,0.0656,0.33684,0.09326,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8621,0.90559,1.45219,0,0,12.87641,0.83842,1.45219,0,0.83842,1.45219,1.45219,0.13023,0.13023,1,25.75281,
Sr2H4Se4O12,0.00264,0.07711,0.12707,0.1455,0.13442,0.21229,0.45564,0.38282,0.21552,0.1794,0.22031,0.15527,0.02659,0.01651,0.09567,0.03447,0.32667,0.18608,0.80126,0.06674,0.75966,0.45943,0.7725,0.78151,0.70004,-0.12579,0.05932,-0.52741,-1,-1,0.13714,-0.12409,0.42724,-0.60595,0.9275,0.20112,0.14831,0.09089,0.02446,0.02757,0.11921,0.00378,0.18939,0.02102,0.00009,0.00007,0,0.02822,0.00769,0.10218,0.10218,0.00433,0,0.13402,0.33924,0.09223,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83129,0.82616,1.83129,0,0,14.11895,0,0,0,0.82616,1.83129,1.83129,0.20529,0.25322,0,28.51041,
Ag1Bi1P2Se6,0.0379,0.03672,0.1279,0.09622,0.26999,0.11806,0.0045,0.90271,0.35691,0.06691,0.17192,0.15527,0.05292,0.08031,0.09567,0.05551,0.28257,0.22873,0.69151,0.13186,0.71759,0.6102,0.74142,0.81822,0.70004,-0.51572,0.03939,-0.94963,-0.70633,-0.814,0.06139,-0.70574,0.24178,-0.45343,0.50829,0.05856,0.13338,0.07275,0.02446,0.0304,0.05463,0.06784,0.38035,0.08866,0.00163,0.00007,0.07732,0.03449,0.55556,0.13159,0.10218,0.10218,0.30723,0.11531,0.06018,0.08735,0.00696,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92791,1.24826,3.87834,1.93917,10.19421,9.96305,0,0,0,0.42661,3.92028,4.44347,0.28467,0.28467,0,23.59787,
